created_time,id,message,hashtags,story
2017-03-04T04:27:27+0000,807722379247301_1443769718975894,"Fake News Fake News
The Australian the home of Fake News
Fake News Fake News Fake News Fake News",,
2017-03-04T01:39:48+0000,807722379247301_1443665385652994,,,Clive Palmer shared Memes for the Urban Gentleman's photo.
2017-03-03T23:44:08+0000,807722379247301_1443590988993767,"Who wants a chip?
I love chip soup

Soggy doggy",,
2017-03-03T23:34:07+0000,807722379247301_1443581848994681,"Woolworths?
Coles?
Coles?
Woolworths?
Woolworths?
Coles?
Woolworths?
Coles?
Plastic
Pumpkins?",,
2017-03-03T09:39:19+0000,807722379247301_1442981292388070,,,Clive Palmer added a new photo.
2017-03-03T08:27:36+0000,807722379247301_1442930195726513,#HappyDays,#HappyDays,
2017-03-03T08:24:58+0000,807722379247301_1442928512393348,,,Clive Palmer shared Memes for the Urban Gentleman's video.
2017-03-03T08:18:24+0000,807722379247301_1442923212393878,,,Clive Palmer shared Memes for the Urban Gentleman's photo.
2017-03-03T08:03:27+0000,807722379247301_1442911495728383,"Dung
Did a dung
Ding a Ling ding
Ding dung
Dong
Ning 
Wing Ding
All gone",,
2017-03-03T07:44:52+0000,807722379247301_1442899459062920,"Dog on the grog
Kanine martinis
Shaken not stirred
Licked not drunk
Makes him fart a lot.",,
2017-03-03T07:36:32+0000,807722379247301_1442894012396798,,,Clive Palmer added a new photo.
2017-03-03T06:19:48+0000,807722379247301_1442840959068770,"People moving
Pencils crushing
People to people
Power to the people",,
2017-03-03T06:18:50+0000,807722379247301_1442840485735484,"Be
What your
Meant to be
Free
And independent",,
2017-03-03T06:18:18+0000,807722379247301_1442840172402182,"Chico rolls
Roll dice 
Chico rolls
Eat
Chic rolls
Chico roll
Yummy",,
2017-03-03T00:01:31+0000,807722379247301_1442599079092958,"Sleep
Roll over once
Roll over twice
Ice ice ice
Manchester",,
2017-03-02T23:59:45+0000,807722379247301_1442598139093052,,,Clive Palmer shared Memes for the Urban Gentleman's video.
2017-03-02T22:19:47+0000,807722379247301_1442525665766966,"Lamington ladies
Tamborine babies
Who knows
Who goes
Love flows.
To block
To stare
To care
Not there
Not there
Not there.
Lamington ladies.",,
2017-03-02T22:01:06+0000,807722379247301_1442510809101785,"Hide my monkey
Take a pear
Stick my rabbit
Radio 4zzz",,
2017-03-02T11:21:15+0000,807722379247301_1442093279143538,"2014 budget??? 
Mathias Cormann or Joe Hockey?#smokingcigar #selfpotrait","#smokingcigar,#selfpotrait",
2017-03-02T11:05:05+0000,807722379247301_1442083782477821,"Red custard
Blue mustard
Green sun caviar
White wall man
Smarties 
Apple crumble
And beer.
Burp",,
2017-03-02T08:09:33+0000,807722379247301_1441987852487414,Rampaging Rupert...Australian Freedom...the futures yours.,,Clive Palmer shared Memes for the Urban Gentleman's video.
2017-03-02T04:54:17+0000,807722379247301_1441877539165112,,,Clive Palmer shared Memes for the Urban Gentleman's video.
2017-03-02T04:53:08+0000,807722379247301_1441877092498490,I hate mieces to pieces,,
2017-03-01T22:59:02+0000,807722379247301_1441672302518969,White mice. Just one.,,
2017-03-01T20:18:50+0000,807722379247301_1441574522528747,,,Clive Palmer shared Memes for the Urban Gentleman's video.
2017-03-01T19:17:07+0000,807722379247301_1441527612533438,"Rain
In my heart
Rain on 
My roof
Rain rain rain
On you 
Rain 
Let freedom rain
Let love rain
Let  freedom rain
Be all
You can be
Let freedom rain",,
2017-03-01T19:15:42+0000,807722379247301_1441526662533533,"It's not the liberal way
It's not the labor way
It's the right way",,
2017-03-01T11:25:37+0000,807722379247301_1441161989236667,"Fuzzy moon talk
Crud-dish writing
Salem Citing
To get out
Fear a button
Loose a sleeve
Follow Arnott",,
2017-03-01T08:58:42+0000,807722379247301_1441075229245343,"It don't rain love
And it don't rain freedom.
It just rains
That's all.",,
2017-03-01T08:51:21+0000,807722379247301_1441066052579594,Had a great day today,,
2017-03-01T07:36:22+0000,807722379247301_1441028815916651,"Diamond Tigers
Crazy moon dogs
Fat bananas
Crystal pumpkins
Sing a love song
Kiss a frog
Mush an egg
Tummy rub",,
2017-03-01T06:39:10+0000,807722379247301_1440993689253497,"Weight loss success
Ive lost 1kg
Only 5 more to go
No pies
No tim tams
No grog
No dog",,
2017-02-28T11:21:16+0000,807722379247301_1440295095990023,"Pie sandwich
Take a pie in your left hand. 
Apply BBQ sauce 
Take another pie in your right hand
Bring them together
Bite
#clivespiesandwhich",#clivespiesandwhich,
2017-02-28T07:34:56+0000,807722379247301_1440177449335121,"Anyone for hamburger and lettuce?
Anyone for dinner",,
2017-02-28T07:11:17+0000,807722379247301_1440160749336791,"I love lamingtons 
In the morning
The smell
The touch
The impression 
I love the coconut 
Memories
I want you",,
2017-02-28T06:07:03+0000,807722379247301_1440113696008163,"Vegemite
Black on site
Love it baby
Vegemite
Bath tonight
Under mighty cloud",,
2017-02-27T23:45:28+0000,807722379247301_1439650462721153,"Our people need more love.
Share some love today",,
2017-02-27T21:51:36+0000,807722379247301_1439590076060525,"We need more jobs in this country for Australians.
We need a government that's serious.",,
2017-02-27T21:11:39+0000,807722379247301_1439568879395978,"Red light, red light, red light, red light.
Ride an onion
Crush a cabbage
Fight a mongoose
To your dreams
Red light, red light, red light, red light.",,
2017-02-27T11:33:26+0000,807722379247301_1439192726100260,Watermelon Sauce for Jaxon Kerr on his birthday today. Kippers on toast.,,
2017-02-27T11:24:20+0000,807722379247301_1439183362767863,"‪Macaroni & cheese, watermelon sauce, liquid honeycomb, dogs dinner.‬",,
2017-02-27T07:19:56+0000,807722379247301_1439044752781724,Feed the world.,,
2017-02-26T20:14:03+0000,807722379247301_1438656789487187,"Put the kettle on.
I miss mint slices.",,
2017-02-26T19:43:07+0000,807722379247301_1438631906156342,,,Clive Palmer updated their profile picture.
2017-02-26T08:16:25+0000,807722379247301_1438161882870011,"A Tim Tam, Ice Cream, 
Chocolate sauce.
Another Tim Tam.
#ClivesTimTamSlam",#ClivesTimTamSlam,
2017-02-26T04:54:40+0000,807722379247301_1438055639547302,"Have a drink 
for all.
Have a drink for me.
#HappySunday",#HappySunday,
2017-02-26T04:54:05+0000,807722379247301_1438055252880674,"An injustice to one man anywhere, 
is an injustice to all men everywhere",,
2017-02-26T04:53:09+0000,807722379247301_1438053989547467,"The longest mile
The hardest road
Leads to home",,
2017-02-26T00:43:26+0000,807722379247301_1437897739563092,,,Clive Palmer updated their profile picture.
2017-02-25T22:49:44+0000,807722379247301_1437833722902827,"‪Snap a brandy‬
‪Ride a pony‬
‪Fly a kite‬
‪Cross a sewer‬
‪Eat a mocking bird‬
‪Dig a moondog‬",,
2017-02-25T22:43:08+0000,807722379247301_1437830189569847,"Peace is an arrow
Its road is narrow
For us
To go through",,
2017-02-25T22:42:27+0000,807722379247301_1437829829569883,"Who wants a hamburger?
I love a hot dog
I love tomato
What about sauce?",,
2017-02-25T22:20:07+0000,807722379247301_1437816469571219,You can follow me on twitter at @CliveFPalmer,,
2017-02-25T22:18:11+0000,807722379247301_1437815462904653,"Thank you all for your comments.
What unites us
Is stronger than 
What divides us",,
2017-02-25T07:33:35+0000,807722379247301_1437193322966867,"Have a mint slice
Don't think twice
Vanilla slice
And Beetroot.",,
2017-02-25T05:59:29+0000,807722379247301_1437111186308414,"‪The smallest dream ‬
‪The largest hope‬
‪The biggest man‬
‪The smallest body‬",,
2017-02-25T02:28:49+0000,807722379247301_1436915619661304,"She a dumpling
Wait a while
Take a sugar cube
Stay a while
Take some hope
Smile a while",,
2017-02-25T01:35:05+0000,807722379247301_1436877632998436,"The sickest cow
The strongest bull
Is unconcerned",,
2017-02-25T00:19:35+0000,807722379247301_1436834369669429,Hard at work.,,
2017-02-24T11:41:16+0000,807722379247301_1436306939722172,‪The dog that's on the grog.‬,,
2017-02-24T11:33:01+0000,807722379247301_1436300969722769,‪The truth will set you free‬,,
2017-02-24T05:51:41+0000,807722379247301_1436114259741440,Goodbye Declan.,,
2017-02-24T05:51:03+0000,807722379247301_1436113469741519,Happy Birthday Declan,,
2017-02-24T01:38:42+0000,807722379247301_1435950883091111,The dog that's on the grog.,,
2017-02-24T01:37:48+0000,807722379247301_1435949923091207,"Hamburgers.
Why not?
Why say why?
My Kitchen Rules.",,
2017-02-24T01:36:47+0000,807722379247301_1435949203091279,"Cuddle in bed
Love your family
Tomorrow is a long time",,
2017-02-24T01:35:48+0000,807722379247301_1435948703091329,Only 6kg to go to smash the 100kg barrier. I can do it. I must prevail. I need your help.,,
2017-02-23T03:49:58+0000,807722379247301_1435178969834969,"Goodbye penalty rates. Goodbye equality. Goodbye family life. Goodbye.
#auspol",#auspol,
2017-02-22T23:46:50+0000,807722379247301_1434964216523111,I just love hamburgers... like and share if you love them too.,,
2017-02-22T23:11:32+0000,807722379247301_1434938146525718,Gee that Tim Tam was good.,,
2017-02-22T20:08:25+0000,807722379247301_1434828279870038,‪Together we can achieve the extraordinary.‬,,
2017-02-22T10:16:16+0000,807722379247301_1434465269906339,I personally guaranteed $2billion of solvency for the refinery from 2009-2013. I didn't even get a #TimTam or two.,#TimTam,
2017-02-22T10:03:50+0000,807722379247301_1434456886573844,‪Tonight's the night I have my TimTam. Only one.‬,,
2017-02-22T09:54:10+0000,807722379247301_1434450746574458,"Faka faka faka news
For u to choose
Hot bath
Stiff drink
Flippant and cunning",,
2017-02-22T09:53:33+0000,807722379247301_1434450483241151,We need free prostrate tests for all men....And free beer,,
2017-02-22T09:39:21+0000,807722379247301_1434442043241995,"‪Faka faka faka news‬
‪For u to choose‬
‪Hot bath‬
‪Stiff drink‬
‪Flippant and cunning ‬",,
2017-02-22T09:34:06+0000,807722379247301_1434438619909004,"‪He said Turnbull never stumbles‬
‪He's got no place to fall‬",,
2017-02-21T20:07:15+0000,807722379247301_1433971763289023,There is a choice we are making,,
2017-02-21T08:37:09+0000,807722379247301_1433526013333598,,,Clive Palmer shared Palmer Sea Reef Golf Course's photo.
